x,y,rssi_for_port5,rssi_for_port6,rssi_for_port7
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-60
20,0,-46,-63,-60
20,0,-46,-63,-59
20,0,-47,-63,-59
20,0,-47,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-47,-63,-59
20,0,-47,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-62,-59
20,0,-46,-62,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-60
20,0,-46,-63,-60
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-62,-59
20,0,-46,-62,-59
20,0,-46,-63,-60
20,0,-46,-63,-60
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-60
20,0,-46,-63,-60
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-62,-59
20,0,-46,-62,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-62,-59
20,0,-46,-62,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-64,-59
20,0,-46,-64,-59
20,0,-46,-64,-59
20,0,-46,-64,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-64,-59
20,0,-46,-64,-59
20,0,-46,-64,-59
20,0,-46,-64,-59
20,0,-46,-64,-59
20,0,-46,-64,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-64,-59
20,0,-46,-64,-59
20,0,-47,-63,-59
20,0,-47,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-60
20,0,-46,-64,-60
20,0,-46,-64,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-59
20,0,-46,-63,-60
